backend,stage,count,total_s,mean_s,min_s,max_s
cython,config.build,1,9.58004966378212e-06,9.58004966378212e-06,9.58004966378212e-06,9.58004966378212e-06
cython,docs.build_token_ids,1,0.007657987996935844,0.007657987996935844,0.007657987996935844,0.007657987996935844
cython,encoder.build,1,0.001673809951171279,0.001673809951171279,0.001673809951171279,0.001673809951171279
cython,encoder.params.init,1,0.19202623201999813,0.19202623201999813,0.19202623201999813,0.19202623201999813
cython,epoch.total,2,0.6500359050696716,0.3250179525348358,0.2894684870261699,0.3605674180435017
cython,run.total,1,2.9133994929725304,2.9133994929725304,2.9133994929725304,2.9133994929725304
cython,sample.backward,46,0.022735476144589484,0.0004942494814041192,0.0002476410008966923,0.008880314999260008
cython,sample.encode.query,46,0.16700100782327354,0.003630456691810294,0.002132220077328384,0.015273739001713693
cython,sample.encode.support_doc,54,0.43251098948530853,0.008009462768246454,0.0042094719829037786,0.02437790692783892
cython,sample.loss,46,0.003078944981098175,6.69335865456125e-05,4.69329534098506e-05,0.000147072016261518
cython,sample.target.build,46,0.0013743882300332189,2.9878005000722148e-05,1.9724015146493912e-05,5.7418947108089924e-05
cython,sample.tokenize.query,46,0.021291666897013783,0.00046286232384812575,0.0001953979954123497,0.008360983920283616
cython,sample.total,46,0.6493271866347641,0.014115808405103568,0.007364637916907668,0.029168599983677268
cython,tokenizer.build,1,0.7254719060147181,0.7254719060147181,0.7254719060147181,0.7254719060147181
cython,weights.save,1,2.263154339045286,2.263154339045286,2.263154339045286,2.263154339045286
numpy,config.build,1,2.182100433856249e-05,2.182100433856249e-05,2.182100433856249e-05,2.182100433856249e-05
numpy,docs.build_token_ids,1,0.005295839044265449,0.005295839044265449,0.005295839044265449,0.005295839044265449
numpy,encoder.build,1,0.00010252604261040688,0.00010252604261040688,0.00010252604261040688,0.00010252604261040688
numpy,encoder.params.init,1,0.2040577098960057,0.2040577098960057,0.2040577098960057,0.2040577098960057
numpy,epoch.total,2,1.089291559997946,0.544645779998973,0.5321501389844343,0.5571414210135117
numpy,run.total,1,3.396668023080565,3.396668023080565,3.396668023080565,3.396668023080565
numpy,sample.backward,46,0.01442161900922656,0.00031351345672231656,0.00028031691908836365,0.0007026920793578029
numpy,sample.encode.query,46,0.47790232894476503,0.010389181064016631,0.008131820010021329,0.02741066599264741
numpy,sample.encode.support_doc,54,0.5732209801208228,0.010615203335570792,0.00798956397920847,0.024674536078236997
numpy,sample.loss,46,0.0030372668989002705,6.602754128044066e-05,5.504000000655651e-05,0.0001615550136193633
numpy,sample.target.build,46,0.0016375661361962557,3.5599263830353386e-05,2.9074959456920624e-05,8.178397547453642e-05
numpy,sample.tokenize.query,46,0.01633607712574303,0.00035513211142919636,0.00027259497437626123,0.0015983820194378495
numpy,sample.total,46,1.0884680674644187,0.023662349292704755,0.016929907957091928,0.04083757591433823
numpy,tokenizer.build,1,0.7827678810572252,0.7827678810572252,0.7827678810572252,0.7827678810572252
numpy,weights.save,1,2.307240355061367,2.307240355061367,2.307240355061367,2.307240355061367
