backend,epoch,step,global_step,loss,grad_norm,sample_time_s
cython,0,0,0,0.3461015224456787,0.8319873809814453,0.018197400961071253
cython,0,1,1,0.3293125629425049,0.8115571737289429,0.015534423990175128
cython,0,2,2,0.32421964406967163,0.8052573800086975,0.014012007974088192
cython,0,3,3,0.44172203540802,0.9399169683456421,0.008318590000271797
cython,0,4,4,0.49279117584228516,0.992764949798584,0.00855343695729971
cython,0,5,5,0.4161854386329651,0.9123436808586121,0.015537836006842554
cython,0,6,6,0.43553781509399414,0.933314323425293,0.009547260939143598
cython,0,7,7,0.3433011770248413,0.8286147117614746,0.008645372930914164
cython,0,8,8,0.4412021040916443,0.9393638372421265,0.009296452044509351
cython,0,9,9,0.33569633960723877,0.8193856477737427,0.009556466015055776
cython,0,10,10,0.38347554206848145,0.8757575750350952,0.009053585934452713
cython,0,11,11,0.33467626571655273,0.8181394934654236,0.008718186989426613
cython,0,12,12,0.40274322032928467,0.8974889516830444,0.008760121068917215
cython,0,13,13,0.38525259494781494,0.877784252166748,0.023258642992004752
cython,0,14,14,0.591082751750946,1.0872743129730225,0.00886857497971505
cython,0,15,15,0.4513343572616577,0.9500887393951416,0.019249183009378612
cython,0,16,16,0.46082603931427,0.9600270986557007,0.008767149061895907
cython,0,17,17,0.5032350718975067,1.0032299757003784,0.008646600996144116
cython,0,18,18,0.39329779148101807,0.8869022727012634,0.009030032088048756
cython,0,19,19,0.4978618621826172,0.997859537601471,0.008488913998007774
cython,0,20,20,0.3700748085975647,0.8603193759918213,0.008092842996120453
cython,0,21,21,0.6168123781681061,1.1106866598129272,0.007928184932097793
cython,0,22,22,0.49666285514831543,0.9966572523117065,0.021907840971834958
cython,1,0,23,0.3480057716369629,0.8342729806900024,0.022970002959482372
cython,1,1,24,0.32787710428237915,0.8097864985466003,0.015325205982662737
cython,1,2,25,0.3423604965209961,0.8274787664413452,0.013914052047766745
cython,1,3,26,0.4692757725715637,0.968788743019104,0.008266482036560774
cython,1,4,27,0.5277278423309326,1.0273537635803223,0.00844024308025837
