backend,n_examples,forward_time_mean_s,generate_time_mean_s,generated_num_tokens_mean,exact_match_text_mean,token_f1_simple_mean,retrieval_hit_at_k_mean,retrieval_overlap_ratio_mean
cython,5,0.07721703140996397,0.8799284945940599,88.0,0.0,0.01927990708478513,0.6,0.6
numpy,5,0.18174745563883335,4.352876015822403,88.0,0.0,0.01927990708478513,0.6,0.6
