backend,epoch,dev_loss,dev_token_acc,dev_exact_match,train_epoch_time_s
cython,0,10.458236694335938,0.0,0.0,2.1472774480935186
cython,1,10.458236694335938,0.0,0.0,1.7318718580063432
numpy,0,10.39312744140445,0.0,0.0,4.8709882710827515
numpy,1,10.327602250233634,0.0,0.0,4.63418435503263
