backend,stage,count,total_s,mean_s,min_s,max_s
cython,config.build,1,3.5146018490195274e-05,3.5146018490195274e-05,3.5146018490195274e-05,3.5146018490195274e-05
cython,dataset.astype,23,8.49973876029253e-05,3.695538591431535e-06,1.9710278138518333e-06,3.484205808490515e-05
cython,dataset.build.total,1,0.006345633999444544,0.006345633999444544,0.006345633999444544,0.006345633999444544
cython,dataset.split,1,0.0012940639862790704,0.0012940639862790704,0.0012940639862790704,0.0012940639862790704
cython,dataset.tokenize.answer,23,0.002074768301099539,9.020731743911038e-05,7.5923977419734e-05,0.00014023808762431145
cython,dataset.tokenize.prompt,23,0.004054324934259057,0.00017627499714169812,8.577702101320028e-05,0.0017807240365073085
cython,decoder.build,1,0.0006300249369814992,0.0006300249369814992,0.0006300249369814992,0.0006300249369814992
cython,decoder.params.init,1,0.24491416302043945,0.24491416302043945,0.24491416302043945,0.24491416302043945
cython,dev.evaluate.total,2,0.3967790639726445,0.19838953198632225,0.10263723798561841,0.2941418259870261
cython,encoder.build,1,9.577302262187004e-05,9.577302262187004e-05,9.577302262187004e-05,9.577302262187004e-05
cython,encoder.params.init,1,0.20860472100321203,0.20860472100321203,0.20860472100321203,0.20860472100321203
cython,encoder.pretrain.load,1,0.17371158604510128,0.17371158604510128,0.17371158604510128,0.17371158604510128
cython,eval.forward,10,0.4149893979774788,0.04149893979774788,0.004352355957962573,0.10027008398901671
cython,eval.loss,10,0.002375517040491104,0.00023755170404911042,0.00011104694567620754,0.0004769109655171633
cython,index_builder.build,1,0.5307864679489285,0.5307864679489285,0.5307864679489285,0.5307864679489285
cython,index_builder.init,1,0.6679919569287449,0.6679919569287449,0.6679919569287449,0.6679919569287449
cython,pipeline.init,1,3.6619603633880615e-06,3.6619603633880615e-06,3.6619603633880615e-06,3.6619603633880615e-06
cython,test.evaluate.total,1,0.03087839693762362,0.03087839693762362,0.03087839693762362,0.03087839693762362
cython,tokenizer.build,1,0.7080228599952534,0.7080228599952534,0.7080228599952534,0.7080228599952534
cython,topk.build,1,6.2800245359539986e-06,6.2800245359539986e-06,6.2800245359539986e-06,6.2800245359539986e-06
cython,train.backward.decoder,32,1.2726968986680731,0.039771778083377285,0.0054414779879152775,0.10118128906469792
cython,train.backward.retrieval,32,0.02341705362778157,0.0007317829258681741,0.00029422901570796967,0.008654305012896657
cython,train.epoch.total,2,3.000631918082945,1.5003159590414725,1.1831690500257537,1.8174628680571914
cython,train.forward,32,1.5348369100829586,0.04796365344009246,0.004219242953695357,0.09855053201317787
cython,train.loss,32,0.16596003388985991,0.005186251059058122,0.0010639040265232325,0.08285829599481076
cython,train.sample.total,32,2.9984293691813946,0.09370091778691858,0.012017588946036994,0.19983196607790887
numpy,config.build,1,4.0158978663384914e-05,4.0158978663384914e-05,4.0158978663384914e-05,4.0158978663384914e-05
numpy,dataset.astype,23,5.960115231573582e-05,2.591354448510253e-06,1.677079126238823e-06,1.2964010238647461e-05
numpy,dataset.build.total,1,0.005103496951051056,0.005103496951051056,0.005103496951051056,0.005103496951051056
numpy,dataset.split,1,0.001707828021608293,0.001707828021608293,0.001707828021608293,0.001707828021608293
numpy,dataset.tokenize.answer,23,0.0024700569920241833,0.00010739378226192102,6.231199949979782e-05,0.0007579019293189049
numpy,dataset.tokenize.prompt,23,0.0024642051430419087,0.00010713935404530038,7.591804023832083e-05,0.00038506300188601017
numpy,decoder.build,1,1.662794966250658e-05,1.662794966250658e-05,1.662794966250658e-05,1.662794966250658e-05
numpy,decoder.params.init,1,0.24206601304467767,0.24206601304467767,0.24206601304467767,0.24206601304467767
numpy,dev.evaluate.total,2,1.0971059810835868,0.5485529905417934,0.5226771880406886,0.5744287930428982
numpy,encoder.build,1,7.911003194749355e-05,7.911003194749355e-05,7.911003194749355e-05,7.911003194749355e-05
numpy,encoder.params.init,1,0.1473173899576068,0.1473173899576068,0.1473173899576068,0.1473173899576068
numpy,encoder.pretrain.load,1,0.17742499196901917,0.17742499196901917,0.17742499196901917,0.17742499196901917
numpy,eval.forward,10,1.4593263998394832,0.14593263998394831,0.03965206106659025,0.21483038493897766
numpy,eval.loss,10,0.3446866499725729,0.034468664997257294,0.004087361972779036,0.07531898899469525
numpy,index_builder.build,1,0.2741600900189951,0.2741600900189951,0.2741600900189951,0.2741600900189951
numpy,index_builder.init,1,0.6610556109808385,0.6610556109808385,0.6610556109808385,0.6610556109808385
numpy,pipeline.init,1,3.3029355108737946e-06,3.3029355108737946e-06,3.3029355108737946e-06,3.3029355108737946e-06
numpy,test.evaluate.total,1,0.7393450710223988,0.7393450710223988,0.7393450710223988,0.7393450710223988
numpy,tokenizer.build,1,0.754733678069897,0.754733678069897,0.754733678069897,0.754733678069897
numpy,topk.build,1,5.596899427473545e-06,5.596899427473545e-06,5.596899427473545e-06,5.596899427473545e-06
numpy,train.backward.decoder,32,4.169519949937239,0.13029749843553873,0.08593008096795529,0.1986512909643352
numpy,train.backward.retrieval,32,0.04080620245076716,0.0012751938265864737,0.0003781919367611408,0.016866252990439534
numpy,train.epoch.total,2,9.473389387130737,4.736694693565369,4.719166567083448,4.754222820047289
numpy,train.forward,32,3.7273154399590567,0.11647860749872052,0.0312531020026654,0.20018658798653632
numpy,train.loss,32,1.5303860928397626,0.04782456540124258,0.006781775038689375,0.08369770192075521
numpy,train.sample.total,32,9.470732659916393,0.2959603956223873,0.12749145401176065,0.42764409293886274
