backend,epoch,step,global_step,train_loss,query_grad_norm,sample_time_s
cython,0,0,0,10.292095184326172,2.1942449166090228e-05,0.11793140298686922
cython,0,1,1,10.463094711303711,3.780741462833248e-05,0.10133390501141548
cython,0,2,2,10.648940086364746,8.25384704512544e-05,0.12396602099761367
cython,0,3,3,10.469027519226074,3.707378709805198e-05,0.10539017408154905
cython,0,4,4,10.367854118347168,2.6848239940591156e-05,0.10496037092525512
cython,0,5,5,10.232035636901855,4.678428012994118e-05,0.1031006989069283
cython,0,6,6,10.123269081115723,3.635181928984821e-05,0.12460172502323985
cython,0,7,7,10.36306095123291,1.7039343219948933e-05,0.19696475903037935
cython,0,8,8,10.347798347473145,3.357668174430728e-05,0.1014482780592516
cython,0,9,9,10.534523963928223,3.6014356737723574e-05,0.1757108720485121
cython,0,10,10,10.516995429992676,1.7371869034832343e-05,0.1939468999626115
cython,0,11,11,10.367911338806152,3.283438491052948e-05,0.12653075100388378
cython,0,12,12,10.375378608703613,1.9789855286944658e-05,0.09781001694500446
cython,0,13,13,10.559321403503418,2.9519969757529907e-05,0.10696664405986667
cython,0,14,14,10.517784118652344,2.4115068299579434e-05,0.1735650619957596
cython,0,15,15,10.368534088134766,3.325302532175556e-05,0.12469977093860507
cython,1,0,16,10.292094230651855,2.4008653781493194e-05,0.1239358950406313
cython,1,1,17,10.463094711303711,3.323057171655819e-05,0.10448389104567468
cython,1,2,18,10.648940086364746,7.995658233994618e-05,0.10214355506468564
cython,1,3,19,10.469027519226074,3.97178519051522e-05,0.10050562396645546
cython,1,4,20,10.367854118347168,2.7031243007513694e-05,0.10107221198268235
cython,1,5,21,10.232034683227539,4.8000463721109554e-05,0.1003361800685525
cython,1,6,22,10.123268127441406,3.5539123928174376e-05,0.09848527004942298
cython,1,7,23,10.36306095123291,1.1376590919098817e-05,0.10190472402609885
cython,1,8,24,10.347798347473145,3.293044937890954e-05,0.18722409603651613
cython,1,9,25,10.534523963928223,3.352302883286029e-05,0.10231066006235778
cython,1,10,26,10.516993522644043,1.6444875654997304e-05,0.10079914797097445
cython,1,11,27,10.367911338806152,3.195753743057139e-05,0.10203080892097205
cython,1,12,28,10.37537956237793,2.2559204808203503e-05,0.10327303595840931
cython,1,13,29,10.559321403503418,2.9927763534942642e-05,0.10136382398195565
cython,1,14,30,10.517784118652344,2.2126589101389982e-05,0.09909563907422125
cython,1,15,31,10.36853313446045,3.2098305382533e-05,0.1018857309827581
numpy,0,0,0,10.290925767686062,2.5199000447173603e-05,0.17485982493963093
numpy,0,1,1,10.460016250607737,6.67315034661442e-05,0.30657586304005235
numpy,0,2,2,10.630152702326228,0.00010611655307002366,0.2885395319899544
numpy,0,3,3,10.435045514786456,4.6794404624961317e-05,0.3054429730400443
numpy,0,4,4,10.354765319823183,4.65943812741898e-05,0.21076023892965168
numpy,0,5,5,10.201477813718663,6.165251397760585e-05,0.3010588570032269
numpy,0,6,6,10.096622467038996,8.154274109983817e-05,0.2961082640103996
numpy,0,7,7,10.345940840871167,4.261125286575407e-05,0.38675805705133826
numpy,0,8,8,10.32645034789953,3.5735141864279285e-05,0.2142878290032968
numpy,0,9,9,10.506562974716715,5.1983668527100235e-05,0.39110500004608184
numpy,0,10,10,10.490232027493184,5.5252308811759576e-05,0.20872057497035712
numpy,0,11,11,10.337467193602482,3.216788900317624e-05,0.39038518897723407
numpy,0,12,12,10.352282206216586,6.01086976530496e-05,0.29909458092879504
numpy,0,13,13,10.527705722383812,5.35305225639604e-05,0.3943778710672632
numpy,0,14,14,10.486962127684498,6.719338125549257e-05,0.21882709802594036
numpy,0,15,15,10.32882385253803,3.750527685042471e-05,0.48282266792375594
numpy,1,0,16,10.253426445854465,2.520670386729762e-05,0.13340111903380603
numpy,1,1,17,10.328945159909527,6.628189294133335e-05,0.3873444499913603
numpy,1,2,18,10.381217956537778,0.00010479471529833972,0.2975721330149099
numpy,1,3,19,10.332643781388033,4.659849582822062e-05,0.3053535370854661
numpy,1,4,20,10.290614318846627,4.6404249587794766e-05,0.29560530302114785
numpy,1,5,21,10.082871246335873,6.145617953734472e-05,0.294789623003453
numpy,1,6,22,9.99332504272261,8.143839659169316e-05,0.22177755692973733
numpy,1,7,23,10.305349249588275,4.2545008909655735e-05,0.37790496402885765
numpy,1,8,24,10.27406247456783,3.572049899958074e-05,0.2206192339072004
numpy,1,9,25,10.440577189126444,5.175643309485167e-05,0.29852654109708965
numpy,1,10,26,10.439281757060495,5.484685971168801e-05,0.3013202620204538
numpy,1,11,27,10.276269531248973,3.217583071091212e-05,0.38238170999102294
numpy,1,12,28,10.29857889811112,5.9903199144173414e-05,0.21858852007426322
numpy,1,13,29,10.463489108614288,5.348426566342823e-05,0.38189566507935524
numpy,1,14,30,10.429203033446223,6.704671977786347e-05,0.2156520519638434
numpy,1,15,31,10.26161499023335,3.7433215766213834e-05,0.300104494090192
