backend,epochs,total_train_loss,test_loss,test_token_acc,test_exact_match,checkpoint_path
cython,2,333.0952444076538,10.406821489334106,0.0,0.0,artifacts/checkpoints/clarion_full_last_cython.npz
numpy,2,331.02290331298525,10.30919884179701,0.0,0.0,artifacts/checkpoints/clarion_full_last_numpy.npz
